Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
,,,,,,,,02:00:00,04:05:00,656,J,32N,1 3 56 ,BOM,2858,AI
,,,,,,,,02:00:00,04:05:00,328,J,32N, 2 4   ,BOM,2858,AI
QP,1812,DEL,1234567,7M8,J,1295,22:55:00,02:05:00,,,,,,,,
,,,,,,,,02:10:00,07:55:00,1068,J,359,1 3 5 7,MUC,765,LH
,,,,,,,,02:10:00,07:55:00,293,J,359,2,MUC,765,LH
UL,173,CMB, 234 6 ,320,J,544,00:55:00,02:20:00,,,,,,,,
,,,,,,,,02:20:00,14:35:00,558,J,788, 2  5 7,NRT,754,JL
6E,871,DEL,1  4 6 ,32Q,J,660,23:30:00,02:25:00,,,,,,,,
6E,871,DEL, 23 5 7,32Q,J,880,23:30:00,02:25:00,,,,,,,,
,,,,,,,,02:40:00,04:05:00,928,J,32Q, 23 5 7,PNQ,6876,6E
,,,,,,,,02:40:00,04:05:00,696,J,32Q,1  4 6 ,PNQ,6876,6E
,,,,,,,,02:40:00,05:10:00,348,J,32N,   4  7,KWI,432,J9
EK,568,DXB,1234567,388,J,3619,21:15:00,02:50:00,,,,,,,,
QR,572,DOH,56,77W,J,708,20:00:00,02:55:00,,,,,,,,
6E,361,PNQ,1234567,32Q,J,1624,01:15:00,02:55:00,,,,,,,,
QR,572,DOH,1234  7,351,J,1635,20:00:00,02:55:00,,,,,,,,
,,,,,,,,03:00:00,05:50:00,660,J,32Q,1  4 6 ,DEL,804,6E
KU,353,KWI, 23  6 ,32N,J,402,19:15:00,03:00:00,,,,,,,,
,,,,,,,,03:00:00,05:50:00,880,J,32Q, 23 5 7,DEL,804,6E
KU,353,KWI,1  45 7,32N,J,536,19:15:00,03:00:00,,,,,,,,
,,,,,,,,03:00:00,09:05:00,2597,J,744,1234567,FRA,755,LH
6E,5323,BOM,1234567,32Q,J,1540,01:10:00,03:05:00,,,,,,,,
AI,2757,DEL,1234567,32N,J,1148,00:15:00,03:10:00,,,,,,,,
EY,232,AUH, 23 56 ,789,J,904,21:35:00,03:15:00,,,,,,,,
EY,232,AUH,   4  7,789,J,580,21:35:00,03:15:00,,,,,,,,
6E,1302,DOH,1234567,32Q,J,1652,20:45:00,03:15:00,,,,,,,,
,,,,,,,,03:25:00,04:50:00,544,J,320, 234 6 ,CMB,174,UL
,,,,,,,,03:45:00,05:30:00,660,J,32Q,1  4 6 ,BOM,5205,6E
,,,,,,,,03:45:00,05:30:00,880,J,32Q, 23 5 7,BOM,5205,6E
G9,496,SHJ,1234567,320,J,1190,22:10:00,03:45:00,,,,,,,,
,,,,,,,,03:50:00,06:30:00,536,J,32N,1  45 7,KWI,354,KU
6E,1486,DXB,1234567,32N,J,1302,22:05:00,03:50:00,,,,,,,,
,,,,,,,,03:50:00,06:30:00,402,J,32N, 23  6 ,KWI,354,KU
,,,,,,,,03:55:00,07:00:00,1295,J,7M8,1234567,DEL,1811,QP
,,,,,,,,04:00:00,05:35:00,1232,J,7M8,1234567,PNQ,2873,IX
6E,6054,DEL,1234567,32Q,J,1540,01:05:00,04:00:00,,,,,,,,
AI,2812,BOM,1234567,32N,J,1148,02:05:00,04:10:00,,,,,,,,
OV,783,MCT,   4 6 ,32N,J,360,23:20:00,04:15:00,,,,,,,,
,,,,,,,,04:15:00,08:30:00,1302,J,32N,1234567,MRU,1861,6E
,,,,,,,,04:25:00,06:40:00,1190,J,320,1234567,SHJ,497,G9
,,,,,,,,04:25:00,06:20:00,1652,J,32Q,1234567,DOH,1301,6E
,,,,,,,,04:25:00,06:40:00,1635,J,351,1234  7,DOH,573,QR
,,,,,,,,04:25:00,06:40:00,708,J,77W,56,DOH,573,QR
,,,,,,,,04:30:00,06:00:00,1624,J,32Q,1234567,PNQ,408,6E
,,,,,,,,04:35:00,07:00:00,904,J,789, 23 56 ,AUH,233,EY
,,,,,,,,04:35:00,07:00:00,580,J,789,   4  7,AUH,233,EY
,,,,,,,,04:35:00,07:00:00,196,J,321,1,AUH,233,EY
6E,6284,BOM,1234567,32Q,J,1540,02:45:00,04:40:00,,,,,,,,
,,,,,,,,04:40:00,07:40:00,1302,J,32N,1234567,IXC,6633,6E
,,,,,,,,04:45:00,07:05:00,3619,J,388,1234567,DXB,569,EK
BA,119,LHR,1234567,777,J,1904,14:00:00,04:50:00,,,,,,,,
GF,282,BAH,1234567,32Q,J,1344,21:25:00,04:55:00,,,,,,,,
6E,6564,PNQ,1234567,32Q,J,1624,03:15:00,04:55:00,,,,,,,,
,,,,,,,,05:00:00,07:35:00,696,J,32Q,1  4 6 ,CCU,227,6E
,,,,,,,,05:00:00,07:35:00,696,J,32Q,  3 5 7,CCU,227,6E
,,,,,,,,05:00:00,07:10:00,540,J,32N,1  4 6 ,MCT,784,OV
,,,,,,,,05:00:00,07:50:00,1295,J,7M8,1234567,DEL,1359,QP
,,,,,,,,05:00:00,07:35:00,232,J,32Q,2,CCU,227,6E
,,,,,,,,05:05:00,07:55:00,1540,J,32Q,1234567,DEL,836,6E
,,,,,,,,05:05:00,07:35:00,1323,J,7M8,1234567,DEL,529,SG
,,,,,,,,05:10:00,07:20:00,744,J,32N, 23 5 7,AMD,586,6E
,,,,,,,,05:10:00,07:20:00,558,J,32N,1  4 6 ,AMD,586,6E
,,,,,,,,05:10:00,06:50:00,1295,J,7M8,1234567,PNQ,1311,QP
IX,920,DXB,1234567,7M8,J,1246,23:25:00,05:10:00,,,,,,,,
,,,,,,,,05:15:00,08:20:00,1624,J,32Q,1234567,GAU,457,6E
,,,,,,,,05:30:00,06:40:00,1232,J,7M8,1234567,COK,2678,IX
,,,,,,,,05:30:00,06:45:00,186,J,32N,6,GOI,194,6E
,,,,,,,,05:30:00,08:30:00,740,J,7M8,  3 567,IXB,1850,QP
,,,,,,,,05:30:00,07:15:00,1624,J,32Q,1234567,BOM,5089,6E
,,,,,,,,05:30:00,08:05:00,528,J,7M8, 2 4 6 ,GWL,2361,IX
,,,,,,,,05:30:00,08:25:00,1148,J,32N,1234567,DEL,2414,AI
,,,,,,,,05:35:00,08:35:00,185,J,7M8,2,GAU,1372,QP
,,,,,,,,05:35:00,08:35:00,370,J,7M8,  3 5  ,GAU,1372,QP
,,,,,,,,05:45:00,07:55:00,1344,J,32Q,1234567,BAH,283,GF
IX,932,DOH,  34 67,7M8,J,378,23:00:00,05:50:00,,,,,,,,
IX,932,DOH,12  567,32N,J,186,23:00:00,05:50:00,,,,,,,,
IX,932,DOH,1234567,32N,J,744,23:00:00,05:50:00,,,,,,,,
,,,,,,,,05:50:00,08:05:00,1295,J,7M8,1234567,BBI,1511,QP
,,,,,,,,05:50:00,09:10:00,1134,J,7M8,1234567,GAU,2881,IX
,,,,,,,,05:55:00,08:50:00,1295,J,7M8,1234567,DEL,1823,QP
6E,820,DEL,1 34 6 ,32Q,J,880,03:00:00,05:55:00,,,,,,,,
6E,820,DEL, 2  5 7,32Q,J,660,03:00:00,05:55:00,,,,,,,,
,,,,,,,,05:55:00,07:30:00,1232,J,7M8,1234567,VTZ,2064,IX
,,,,,,,,06:00:00,08:50:00,1110,J,7M8,12345 7,CCU,1561,QP
,,,,,,,,06:00:00,07:55:00,1295,J,7M8,1234567,BOM,1515,QP
,,,,,,,,06:00:00,08:40:00,176,J,7M8,3,LKO,1479,IX
,,,,,,,,06:00:00,08:45:00,656,J,32N,2345,DEL,2810,AI
,,,,,,,,06:00:00,08:45:00,492,J,32N,1    67,DEL,2810,AI
,,,,,,,,06:05:00,07:20:00,372,J,32N,1  4   ,GOI,194,6E
,,,,,,,,06:05:00,07:25:00,1134,J,7M8,1234567,HYD,2018,IX
,,,,,,,,06:05:00,07:20:00,744,J,32N, 23 5 7,GOI,194,6E
6E,1409,AUH,1234567,32N,J,930,00:30:00,06:05:00,,,,,,,,
