Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
"","","","","","","","","01:15:00","17:55:00","1813","J","788","1234567","MEL","308","AI"
"","","","","","","","","01:20:00","07:20:00","820","J","32N","1 3 567","HAN","2390","AI"
"","","","","","","","","01:20:00","18:25:00","1813","J","788","1234567","SYD","302","AI"
"ET","688","ADD","1234 67","7M8","J","640","16:05:00","01:20:00","","","","","","","",""
"6E","2187","BBI","1234567","32N","J","1302","23:00:00","01:20:00","","","","","","","",""
"ET","688","ADD","1 3 5  ","788","J","426","16:05:00","01:20:00","","","","","","","",""
"AI","2488","BLR","1234567","32N","J","1148","22:30:00","01:25:00","","","","","","","",""
"","","","","","","","","01:25:00","07:25:00","1148","J","32N","1234567","HKT","2378","AI"
"","","","","","","","","01:30:00","07:30:00","2212","J","359","1234567","LHR","161","AI"
"","","","","","","","","01:30:00","04:00:00","202","J","321","  3    ","TAS","922","HH"
"KU","381","KWI","1 34 67","339","J","1390","18:45:00","01:30:00","","","","","","","",""
"KU","381","KWI"," 2  5  ","338","J","470","18:45:00","01:30:00","","","","","","","",""
"","","","","","","","","01:35:00","06:50:00","1986","J","351","1234567","LHR","142","BA"
"AI","2303","BKK","1234567","32N","J","1148","22:25:00","01:35:00","","","","","","","",""
"","","","","","","","","01:35:00","06:40:00","2415","J","77W","1234567","VIE","187","AI"
"SG","164","BOM","1234567","73H","J","1323","23:15:00","01:35:00","","","","","","","",""
"","","","","","","","","01:35:00","06:50:00","272","J","777","1234567","LHR","142","BA"
"AI","916","DXB","1  4   ","789","J","278","20:40:00","01:40:00","","","","","","","",""
"6E","1612","BBI","1234567","32N","J","1302","23:20:00","01:40:00","","","","","","","",""
"AI","916","DXB","  3 5 7","789","J","897","20:40:00","01:40:00","","","","","","","",""
"AI","916","DXB"," 2   6 ","788","J","500","20:40:00","01:40:00","","","","","","","",""
"","","","","","","","","01:40:00","07:40:00","1148","J","32N","1234567","BKK","2336","AI"
"","","","","","","","","01:45:00","06:35:00","998","J","388","  34   ","MUC","763","LH"
"AI","2387","KUL","1 34 67","32N","J","820","22:40:00","01:45:00","","","","","","","",""
"","","","","","","","","01:45:00","06:35:00","2545","J","388","12  567","MUC","763","LH"
"AI","148","CDG","1234567","788","J","1813","12:45:00","01:45:00","","","","","","","",""
"6E","6148","CNN","1234567","32Q","J","1624","22:45:00","01:45:00","","","","","","","",""
"","","","","","","","","01:50:00","09:00:00","1264","J","359","12 4 6 ","EWR","105","AI"
"KL","0871","AMS","1234567","781","J","2226","14:25:00","01:55:00","","","","","","","",""
"IX","1121","GAU","1234567","7M8","J","1232","23:05:00","01:55:00","","","","","","","",""
"6E","5385","AMD","  3    ","32Q","J","232","00:05:00","02:00:00","","","","","","","",""
"6E","5385","AMD","12 4567","32Q","J","1392","00:05:00","02:00:00","","","","","","","",""
"6E","350","BOM","  3 5 7","32Q","J","660","23:45:00","02:00:00","","","","","","","",""
"IX","164","MCT","1234567","320","J","1260","21:00:00","02:00:00","","","","","","","",""
"6E","350","BOM","12 4 6 ","32Q","J","880","23:45:00","02:00:00","","","","","","","",""
"AI","2776","HYD","1234567","32N","J","1148","23:30:00","02:00:00","","","","","","","",""
"","","","","","","","","02:00:00","04:20:00","328","J","32N","1234567","HYD","2577","AI"
"","","","","","","","","02:00:00","04:20:00","164","J","32N","1    6 ","HYD","2577","AI"
"","","","","","","","","02:00:00","04:20:00","656","J","32N"," 2345 7","HYD","2577","AI"
"","","","","","","","","02:00:00","07:55:00","156","J","320","     6 ","BKK","336","TG"
"AI","190","YYZ"," 2  5 7","77W","J","1035","00:35:00","02:05:00","","","","","","","",""
"","","","","","","","","02:05:00","07:20:00","2779","J","351","1234567","LHR","303","VS"
"6E","1082","HKT","1234567","32Q","J","1540","22:50:00","02:05:00","","","","","","","",""
"","","","","","","","","02:15:00","04:55:00","1148","J","32N","1234567","MAA","2885","AI"
"","","","","","","","","02:15:00","07:35:00","1380","J","77W","1 3 5 7","VIE","127","AI"
"TG","331","BKK","1234567","32Q","J","1225","23:15:00","02:15:00","","","","","","","",""
"AI","1882","BOM","1234567","32N","J","1148","23:55:00","02:15:00","","","","","","","",""
"","","","","","","","","02:20:00","04:25:00","1624","J","32Q","1234567","PNQ","2343","6E"
"6E","2313","BLR","  3 5 7","32Q","J","660","23:30:00","02:20:00","","","","","","","",""
"6E","6025","HYD","12 4 6 ","32Q","J","880","23:50:00","02:20:00","","","","","","","",""
"","","","","","","","","02:20:00","09:40:00","1896","J","359","1 34567","JFK","101","AI"
"6E","6025","HYD","      7","32Q","J","220","23:50:00","02:20:00","","","","","","","",""
"6E","6025","HYD","  3 5  ","32Q","J","440","23:50:00","02:20:00","","","","","","","",""
"6E","2313","BLR","12 4 6 ","32Q","J","880","23:30:00","02:20:00","","","","","","","",""
"EK","512","DXB","1234567","77W","J","2520","21:30:00","02:25:00","","","","","","","",""
"AI","1858","COK","1234567","32N","J","1148","23:00:00","02:25:00","","","","","","","",""
"","","","","","","","","02:25:00","04:40:00","1540","J","32Q","1234567","HYD","704","6E"
"AI","2383","SIN","1234567","321","J","1316","23:00:00","02:30:00","","","","","","","",""
"AI","351","PVG","1 3 567","788","J","1295","22:00:00","02:30:00","","","","","","","",""
"","","","","","","","","02:30:00","06:30:00","480","J","7M8","1234 67","ADD","687","ET"
